w_det,w_ont,w_gen,roc_auc,average_precision,threshold,precision,recall,f1,predicted_positive_rate
0.24,0.72,0.04,1.0,1.0,0.46799999999999997,1.0,1.0,1.0,0.2299483937736878
0.24,0.76,0.0,1.0,1.0,0.49400000000000005,1.0,1.0,1.0,0.2299483937736878
0.23076923076923075,0.7307692307692307,0.038461538461538464,1.0,1.0,0.475,1.0,1.0,1.0,0.2299483937736878
0.2222222222222222,0.7407407407407407,0.037037037037037035,1.0,1.0,0.48148148148148145,1.0,1.0,1.0,0.2299483937736878
0.38888888888888884,0.6111111111111112,0.0,1.0,1.0,0.39722222222222225,1.0,1.0,1.0,0.2299483937736878
0.36842105263157887,0.5789473684210527,0.05263157894736842,1.0,1.0,0.3763157894736842,1.0,1.0,1.0,0.2299483937736878
0.3684210526315789,0.631578947368421,0.0,1.0,1.0,0.4105263157894737,1.0,1.0,1.0,0.2299483937736878
0.35,0.6,0.05,1.0,1.0,0.39,1.0,1.0,1.0,0.2299483937736878
0.35,0.65,0.0,1.0,1.0,0.42250000000000004,1.0,1.0,1.0,0.2299483937736878
0.3333333333333333,0.6190476190476191,0.047619047619047616,1.0,1.0,0.4023809523809524,1.0,1.0,1.0,0.2299483937736878
0.3181818181818182,0.6363636363636364,0.04545454545454546,1.0,1.0,0.41363636363636364,1.0,1.0,1.0,0.2299483937736878
0.3181818181818181,0.6818181818181818,0.0,1.0,1.0,0.4431818181818182,1.0,1.0,1.0,0.2299483937736878
0.3043478260869565,0.6521739130434782,0.043478260869565216,1.0,1.0,0.4239130434782608,1.0,1.0,1.0,0.2299483937736878
0.30434782608695654,0.6956521739130436,0.0,1.0,1.0,0.4521739130434783,1.0,1.0,1.0,0.2299483937736878
0.2916666666666667,0.6666666666666667,0.04166666666666667,1.0,1.0,0.4333333333333334,1.0,1.0,1.0,0.2299483937736878
0.2916666666666667,0.7083333333333334,0.0,1.0,1.0,0.4604166666666667,1.0,1.0,1.0,0.2299483937736878
0.27999999999999997,0.6799999999999999,0.04,1.0,1.0,0.44199999999999995,1.0,1.0,1.0,0.2299483937736878
0.27999999999999997,0.72,0.0,1.0,1.0,0.46799999999999997,1.0,1.0,1.0,0.2299483937736878
0.2692307692307692,0.6923076923076923,0.038461538461538464,1.0,1.0,0.45,1.0,1.0,1.0,0.2299483937736878
0.2692307692307693,0.7307692307692308,0.0,1.0,1.0,0.47500000000000003,1.0,1.0,1.0,0.2299483937736878
