threshold,tp,fp,tn,fn,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,accuracy,predicted_positive_rate
0.2161639469229708,14408,35823,19238,2034,0.28683482311719855,0.8762924218464907,0.4321989411005955,0.349394308130982,0.650605691869018,0.1237075781535093,0.47055368306224915,0.7025019929233739
0.21675587394049114,14393,35659,19402,2049,0.28756093662590904,0.8753801240724972,0.4329112401118897,0.3523728228691815,0.6476271771308185,0.12461987592750273,0.4726375117127953,0.6999986014572815
0.21734676626836005,14371,35502,19559,2071,0.2881519058408357,0.8740420873373069,0.433416270828621,0.35522420588075043,0.6447757941192496,0.1259579126626931,0.4745255443827532,0.6974952099911892
0.2175,14367,35461,19600,2075,0.2883318616039175,0.8737988079309087,0.4335898596650068,0.3559688345653003,0.6440311654346997,0.12620119206909136,0.4750430051885935,0.6968658657678699
0.21789759501111125,14348,35346,19715,2094,0.288727009296897,0.872643230750517,0.4338937946050563,0.3580574272170865,0.6419425727829134,0.12735676924948303,0.4763856061983413,0.6949918185250968
0.21850647494333636,14331,35185,19876,2111,0.2894216010986348,0.8716092932733244,0.43454925861912125,0.36098145692958716,0.6390185430704128,0.12839070672667557,0.4783995077129631,0.6925024124861894
0.21902336192458763,14315,35022,20039,2127,0.2901473539128849,0.8706361756477314,0.43524529105033527,0.3639418099925537,0.6360581900074462,0.1293638243522686,0.4804553655091395,0.689999021020097
0.2196439423499362,14294,34864,20197,2148,0.29077667927905937,0.8693589587641406,0.43579268292682927,0.3668113546793556,0.6331886453206443,0.13064104123585937,0.4823713690334671,0.6874956295540047
0.22,14285,34769,20292,2157,0.29120968728340196,0.8688115800997446,0.436209844876023,0.36853671382648334,0.6314632861735167,0.13118841990025545,0.4835741157713662,0.6860411451267779
0.22027595335272868,14279,34700,20361,2163,0.29153310602503113,0.8684466609901472,0.43652649760780177,0.3697898694175551,0.6302101305824449,0.1315533390098528,0.48445519768401324,0.6849922380879124
0.22090355552668964,14260,34541,20520,2182,0.2922071269031372,0.8672910838097555,0.4371350183161412,0.37267757577958993,0.6273224242204101,0.1327089161902445,0.48641315748989555,0.682502832049005
